ID,Genotype
25730,UNL045
024147-C,UNL045
024148-S,UNL045
0026898-S,UNL046
0026899-C,UNL046
25651,UNL046
25652,UNL046
023575-S,UNL046
023576-C,UNL046
024373-C,UNL046
024374-S,UNL046
0027126-C,UNL047
0027127-S,UNL047
25973,UNL047
25974,UNL047
023781-C,UNL047
023782-S,UNL047
024157-S,UNL047
024158-C,UNL047
0026769-S,UNL048
0026770-C,UNL048
26226,UNL048
26227,UNL048
023553-S,UNL048
023554-C,UNL048
0026959-S,UNL049
0026960-C,UNL049
25981,UNL049
25982,UNL049
023925-C,UNL049
023926-S,UNL049
024131-S,UNL049
024132-C,UNL049
0026729-S,UNL050
0026730-C,UNL050
25945,UNL050
25946,UNL050
023791-S,UNL050
023792-C,UNL050
0027043-C,UNL051
0027044-S,UNL051
26081,UNL051
26082,UNL051
023963-S,UNL051
023964-C,UNL051
0026498-C,UNL052
0026499-S,UNL052
26297,UNL052
26298,UNL052
024307-S,UNL052
024308-C,UNL052
0026595-C,UNL053
0026596-S,UNL053
25529,UNL053
25530,UNL053
023907-C,UNL053
023908-S,UNL053
0027098-S,UNL054
0027099-C,UNL054
26032,UNL054
26033,UNL054
023993-S,UNL054
023994-C,UNL054
0026965-C,UNL055
0026966-S,UNL055
26313,UNL055
26314,UNL055
024325-S,UNL055
024326-C,UNL055
0026515-S,UNL056
0026516-C,UNL056
25971,UNL056
25972,UNL056
023871-S,UNL056
023872-C,UNL056
0026421-S,UNL057
0026422-C,UNL057
25556,UNL057
25557,UNL057
023833-S,UNL057
023834-C,UNL057
024007-S,UNL057
024008-C,UNL057
0026531-S,UNL058
0026532-C,UNL058
26210,UNL058
26211,UNL058
023657-S,UNL058
023658-C,UNL058
024183-S,UNL058
024184-C,UNL058
0026637-S,UNL059
0026638-C,UNL059
25804,UNL059
25805,UNL059
023747-C,UNL059
023748-S,UNL059
0026456-C,UNL060
0026457-S,UNL060
26020,UNL060
26021,UNL060
023911-S,UNL060
023912-C,UNL060
0026432-S,UNL061
0026433-C,UNL061
25677,UNL061
25678,UNL061
023641-C,UNL061
023642-S,UNL061
0026995-C,UNL063
0026996-S,UNL063
25721,UNL063
25722,UNL063
023773-C,UNL063
023774-S,UNL063
024069-S,UNL063
024070-C,UNL063
0026631-S,UNL064
0026632-C,UNL064
25737,UNL064
25738,UNL064
023655-S,UNL064
023656-C,UNL064
024331-S,UNL064
024332-C,UNL064
0026831-C,UNL065
0026832-S,UNL065
25853,UNL065
25854,UNL065
024095-C,UNL065
024096-S,UNL065
0026983-C,UNL066
0026984-S,UNL066
26283,UNL066
26284,UNL066
023751-S,UNL066
023752-C,UNL066
0026660-S,UNL067
0026661-C,UNL067
25497,UNL067
25498,UNL067
023767-S,UNL067
023768-C,UNL067
0026765-S,UNL068
0026766-C,UNL068
26193,UNL068
26194,UNL068
023953-S,UNL068
023954-C,UNL068
0026672-C,UNL069
0026673-S,UNL069
25635,UNL069
25636,UNL069
023939-C,UNL069
023940-S,UNL069
024305-S,UNL069
024306-C,UNL069
0026888-C,UNL070
0026889-S,UNL070
26216,UNL070
26217,UNL070
023581-C,UNL070
023582-S,UNL070
024133-S,UNL070
024134-C,UNL070
0027023-S,UNL071
0027024-C,UNL071
26181,UNL071
26182,UNL071
023573-C,UNL071
023574-S,UNL071
0026438-S,UNL072
0026439-C,UNL072
26238,UNL072
26239,UNL072
023727-S,UNL072
023728-C,UNL072
0027154-S,UNL073
0027155-C,UNL073
25602,UNL073
25603,UNL073
023623-C,UNL073
023624-S,UNL073
024265-S,UNL073
024266-C,UNL073
0026801-S,UNL074
0026802-C,UNL074
25491,UNL074
25492,UNL074
023595-C,UNL074
023596-S,UNL074
